Number_of_Packects ,Avg_time_gap,Number_of_unique_IDs
358,0.014245810055882166,14
308,0.01558441558437777,20
359,0.01448467966577057,12
315,0.017460317460409838,15
147,0.03469387755105998,10
143,0.035664335664376344,16
131,0.03893129770996807,13
136,0.03750000000004278,12
140,0.03642857142861298,14
145,0.035172413793143564,12
138,0.03695652173917259,11
140,0.03642857142861298,15
135,0.03777777777782087,10
187,0.02299465240635484,18
154,0.03896103896122793,10
162,0.03148148148151739,14
154,0.03311688311692089,11
139,0.03669064748205624,15
145,0.035172413793143564,6
154,0.03311688311692089,9
149,0.03422818791950213,3
149,0.03422818791950213,10
143,0.035664335664376344,4
141,0.0361702127659987,15
185,0.026486486486455005,19
331,0.01631419939584072,17
254,0.020078740157503213,15
158,0.032278481012695044,13
146,0.034931506849354914,9
144,0.035416666666707064,14
102,0.05098039215669151,14
140,0.03642857142861298,13
128,0.03984375000004545,10
150,0.034000000000038784,13
143,0.035664335664376344,12
148,0.03445945945949876,13
149,0.03422818791950213,15
146,0.034931506849354914,14
143,0.035664335664376344,13
154,0.03311688311692089,12
140,0.03642857142861298,9
274,0.01751824817513998,20
253,0.021739130434897624,12
125,0.040800000000046535,4
125,0.040800000000046535,3
128,0.03984375000004545,4
131,0.03893129770996807,2
117,0.04358974358979331,8
118,0.04322033898310015,3
122,0.041803278688572275,8
135,0.03777777777782087,5
138,0.03695652173917259,6
141,0.0361702127659987,4
194,0.022680412371104,16
177,0.034463276836191055,5
136,0.03750000000004278,10
131,0.03893129770996807,7
129,0.03953488372097533,13
157,0.03248407643315807,6
134,0.03805970149258073,10
139,0.03669064748205624,8
137,0.03722627737230524,5
108,0.047222222222276095,2
124,0.04112903225811143,5
139,0.03669064748205624,3
143,0.035664335664376344,12
111,0.04594594594599835,18
219,0.01826484018278128,15
266,0.023308270676626067,7
240,0.014583333333333318,17
210,0.028095238095210362,13
244,0.02500000000002384,12
134,0.03805970149258073,8
153,0.03333333333337135,15
147,0.03469387755105998,18
159,0.032075471698149796,17
136,0.03750000000004278,10
155,0.03290322580648914,15
157,0.03248407643315807,12
214,0.023831775700961764,15
158,0.032278481012695044,16
144,0.035416666666707064,15
156,0.032692307692344984,11
157,0.03248407643315807,13
139,0.03669064748205624,10
143,0.035664335664376344,17
141,0.0361702127659987,16
136,0.03750000000004278,12
161,0.031677018633576505,12
148,0.03445945945949876,15
144,0.035416666666707064,14
190,0.02052631578959621,17
256,0.02460937499995451,7
206,0.024757281553426297,13
93,0.05591397849443587,2
187,0.027272727272758385,7
151,0.03377483443712462,2
142,0.03591549295778745,6
142,0.03591549295778745,7
160,0.03187500000003636,16
137,0.03722627737230524,11
163,0.031288343558317895,12
150,0.034000000000038784,7
123,0.04146341463419364,10
136,0.03750000000004278,7
156,0.032692307692344984,13
145,0.035172413793143564,6
172,0.029651162790731496,3
141,0.0361702127659987,4
154,0.03311688311692089,5
124,0.04112903225811143,5
136,0.03750000000004278,10
137,0.03722627737230524,3
148,0.03445945945949876,10
134,0.03805970149258073,3
135,0.03777777777782087,8
130,0.03923076923081398,3
186,0.02741935483874095,17
197,0.025888324873125975,18
151,0.03377483443712462,12
152,0.03355263157898564,14
169,0.023076923077060826,17
156,0.04038461538454074,7
144,0.031249999999999976,16
166,0.03614457831325299,9
168,0.030357142857177482,15
130,0.03923076923081398,9
157,0.03248407643315807,8
148,0.03445945945949876,2
136,0.03750000000004278,4
132,0.038636363636407704,2
131,0.038931297709968074,6
94,0.054255319148998074,16
193,0.019689119171074916,17
291,0.021993127147746306,5
274,0.014598540145985385,15
225,0.02577777777772602,6
291,0.01993127147772322,14
142,0.03732394366209478,7
134,0.03805970149258073,11
142,0.03591549295778745,25
133,0.03834586466169787,16
127,0.04015748031500643,11
141,0.0361702127659987,13
138,0.03695652173917259,10
148,0.03445945945949876,15
150,0.034000000000038784,14
143,0.035664335664376344,13
146,0.034931506849354914,10
145,0.035172413793143564,15
140,0.03642857142861298,8
137,0.03722627737230524,11
152,0.03355263157898564,6
158,0.032278481012695044,11
441,0.011564625850353326,7
404,0.012623762376252023,12
141,0.0361702127659987,6
139,0.03669064748205624,10
136,0.03750000000004278,7
156,0.02820512820509087,11
118,0.049152542373029316,5
134,0.03134328358195921,13
143,0.035664335664376344,13
146,0.034931506849354914,16
156,0.032692307692344984,16
143,0.03076923076919004,12
146,0.041780821917848064,12
156,0.030769230769156122,17
135,0.04000000000017244,11
148,0.03648648648644713,10
177,0.025988700565004616,15
130,0.043076923076967824,10
130,0.03923076923081398,17
183,0.022404371584731245,14
137,0.04014598540145983,13
151,0.037748344370938,12
130,0.03692307692321122,15
111,0.039639639639587165,11
129,0.03953488372097533,11
121,0.04214876033062659,12
128,0.03437500000018187,17
116,0.04224137931029463,12
127,0.04645669291333998,5
126,0.03571428571428569,11
129,0.04186046511645953,10
138,0.02898550724637679,9
142,0.04154929577460688,13
136,0.03750000000004278,10
114,0.04912280701759489,6
129,0.03953488372097533,12
185,0.025945945945883,12
105,0.05142857142879314,9
129,0.03720930232571673,11
140,0.03857142857138697,8
139,0.03381294964016212,11
120,0.04666666666671515,7
182,0.028021978022009984,14
150,0.02733333333337212,11
184,0.033152173913075095,6
138,0.03333333333337549,15
194,0.028865979381473283,6
154,0.033116883116920896,15
134,0.034328358208998634,14
134,0.041791044776162814,9
145,0.035172413793143564,7
138,0.03695652173917259,11
159,0.032075471698149796,4
150,0.034000000000038784,10
146,0.034931506849354914,4
130,0.03923076923081398,10
156,0.029487179487216776,19
171,0.034502923976574125,20
146,0.03493150684935493,12
132,0.032575757575669356,19
140,0.04000000000024943,12
184,0.026086956521675843,13
143,0.03916083916087985,8
206,0.02233009708740688,12
158,0.033544303797394655,11
97,0.058762886598058124,8
130,0.03923076923081398,11
181,0.028176795580142636,17
211,0.025592417061583772,10
117,0.047863247863297584,8
135,0.03777777777782087,12
150,0.034000000000038784,11
130,0.039230769230813985,16
141,0.030496453900626632,14
162,0.03765432098769023,13
156,0.032692307692344984,14
122,0.03688524590163932,17
149,0.0328859060404247,12
171,0.034502923976574125,12
168,0.030357142857004246,14
117,0.04871794871804819,10
144,0.035416666666707064,13
199,0.02562814070354682,14
140,0.03857142857138698,10
124,0.03629032258064514,10
123,0.046341463414728765,9
164,0.03109756097564523,8
122,0.03524590163924882,18
146,0.040410958904269045,5
194,0.02628865979384442,15
145,0.031034482758821383,17
121,0.0471074380163846,13
141,0.03191489361702125,18
140,0.04214285714281554,9
118,0.04322033898310015,12
130,0.036923076922987345,18
154,0.03701298701306258,8
129,0.03953488372097533,15
161,0.031677018633576505,13
172,0.03139534883717544,11
123,0.04146341463419365,3
151,0.033774834437124625,9
148,0.03445945945949877,4
124,0.0395161290324458,9
133,0.03909774436077094,3
143,0.035664335664376344,21
156,0.032692307692344984,17
152,0.03157894736834444,13
138,0.037681159420374186,10
128,0.039062500000227346,14
141,0.04042553191476975,11
148,0.031081081081120388,13
149,0.035570469798579564,11
130,0.041538461538416734,13
137,0.04087591240880158,11
155,0.02967741935487624,16
138,0.03695652173917259,11
163,0.03251533742341999,14
142,0.03943661971814587,11
139,0.03669064748205624,10
130,0.034615384615384596,12
140,0.040714285714368845,9
154,0.033116883116920896,15
407,0.012530712530726823,11
292,0.017123287671232865,5
157,0.03248407643315807,6
133,0.03834586466169787,3
108,0.04722222222227609,8
129,0.039534883720975335,9
166,0.024698795180757935,23
136,0.04485294117651336,10
154,0.026623376623225413,13
184,0.035326086956679895,8
119,0.04285714285719174,13
145,0.035172413793143564,12
149,0.03288590604022937,13
145,0.03862068965521253,9
147,0.03265306122441058,16
131,0.042748091603097844,13
144,0.033333333333454576,19
100,0.04799999999988355,9
124,0.041935483871061593,14
156,0.035897435897473184,11
136,0.03970588235289835,10
128,0.03984375000004545,10
127,0.03858267716530847,16
183,0.03060109289620665,13
170,0.03000000000003423,11
160,0.03187500000003636,4
168,0.030357142857177482,10
164,0.031097560975645228,4
143,0.035664335664376344,11
183,0.02732240437158468,13
142,0.03661971830994111,16
165,0.030909090909126163,18
144,0.03194444444448484,17
131,0.042748091603097844,11
141,0.0361702127659987,17
128,0.03984375000004545,11
131,0.035114503816838304,15
121,0.048760330578464274,9
132,0.038636363636407704,13
139,0.03669064748205624,11
154,0.03311688311692089,9
168,0.030357142857177482,4
196,0.026020408163294987,9
136,0.03750000000004278,3
181,0.028176795580142636,11
144,0.034722222222222196,13
142,0.032394366197224064,21
176,0.03181818181821487,12
204,0.02401960784325137,11
138,0.030434782608569088,18
146,0.03767123287671231,12
112,0.05089285714296105,10
94,0.05425531914899807,10
120,0.04250000000004848,12
135,0.037777777777820876,13
134,0.03805970149258073,16
115,0.0443478260870071,17
106,0.04811320754722469,12
111,0.04594594594599835,14
153,0.03333333333337135,13
123,0.04471544715447152,10
108,0.04722222222227609,12
135,0.03777777777782087,12
118,0.0398305084746749,16
93,0.05806451612896963,7
100,0.05100000000005818,2
139,0.03597122302158271,4
130,0.039230769230813985,3
116,0.043965517241429455,4
134,0.03805970149258073,12
165,0.030909090909126163,25
118,0.04322033898310015,13
139,0.03237410071942443,14
139,0.041007194244688044,10
138,0.03695652173917259,15
115,0.04434782608700712,14
139,0.03309352517989796,13
147,0.040136054421729093,11
142,0.03591549295778745,13
134,0.038059701492580734,12
99,0.058585858585740974,12
168,0.020238095238233805,5
155,0.03999999999988733,12
155,0.03677419354846218,8
188,0.027127659574499027,11
254,0.020472440944813125,8
168,0.030357142857177482,13
130,0.03923076923081398,23
159,0.030817610063039493,14
180,0.028888888888791858,18
154,0.029220779220779203,14
177,0.032203389830574226,11
121,0.04214876033062659,10
144,0.035416666666707064,13
136,0.03161764705895192,15
191,0.03089005235599045,13
127,0.04015748031500643,14
145,0.035172413793143564,4
128,0.03984375000004545,12
152,0.03355263157898564,4
115,0.0443478260870071,10
133,0.03834586466169788,5
133,0.03834586466169787,10
137,0.03722627737230524,10
122,0.04180327868857229,10
118,0.04322033898310016,7
138,0.03695652173917259,10
140,0.036428571428612985,9
124,0.04112903225811143,10
120,0.042500000000048485,7
149,0.03422818791950213,20
131,0.038931297709968074,13
134,0.03805970149258073,11
129,0.035658914728727266,12
141,0.03900709219858154,15
228,0.022368421052657093,14
155,0.027096774193623472,13
160,0.03749999999999998,9
150,0.029999999999999975,15
158,0.03607594936716227,4
150,0.034000000000038784,7
165,0.030909090909126163,4
122,0.041803278688572275,6
172,0.0296511627907315,4
161,0.031677018633576505,14
224,0.020535714285740254,11
450,0.012444444444457371,13
135,0.037777777777820876,11
143,0.03706293706285563,10
102,0.05000000000005704,6
128,0.03984375000004545,12
162,0.03148148148151739,12
150,0.034000000000038784,13
122,0.041803278688572275,12
135,0.03777777777782087,11
158,0.032278481012695044,13
135,0.037777777777820876,11
116,0.043965517241429455,8
146,0.03493150684935492,13
147,0.03469387755105998,13
133,0.037593984962405985,21
126,0.04285714285709664,16
146,0.03219178082179818,17
146,0.038356164383601496,15
132,0.038636363636407704,11
138,0.032608695652173884,14
155,0.03870967741935481,10
169,0.030177514792933836,15
119,0.033613445378151245,11
158,0.03607594936716227,16
120,0.046666666666715144,9
122,0.04180327868857228,11
128,0.03984375000004545,10
148,0.03445945945949876,7
125,0.04080000000004654,16
156,0.032692307692344984,11
112,0.04375000000020786,10
130,0.03999999999986565,6
127,0.04015748031500644,10
130,0.03923076923081398,4
144,0.035416666666707064,8
128,0.03984375000004545,3
151,0.033112582781456935,8
117,0.04444444444454392,3
128,0.03984375000004545,6
145,0.035172413793143564,3
117,0.04358974358979331,2
165,0.029696969697110786,2
244,0.021311475409764483,4
138,0.03695652173917259,9
124,0.036290322580645136,7
149,0.03758389261748871,4
131,0.03893129770996807,8
115,0.04434782608700712,3
159,0.032075471698149796,9
121,0.042148760330626596,4
127,0.04015748031500644,4
118,0.04322033898310016,2
147,0.03469387755105998,4
167,0.03053892215572346,3
139,0.03669064748205624,15
146,0.034931506849354914,11
165,0.026060606060535483,12
124,0.04919354838714369,9
150,0.034000000000038784,11
157,0.026114649681565714,7
120,0.04416666666656964,11
118,0.05000000000019729,5
129,0.03875968992248059,5
129,0.03953488372097533,2
134,0.03805970149258073,4
119,0.04285714285719175,2
133,0.03834586466169787,13
124,0.03306451612907917,8
137,0.044525547445297936,10
135,0.037777777777820876,7
150,0.034000000000038784,11
137,0.037226277372305244,6
138,0.0369565217391726,9
179,0.027374301676107708,10
142,0.036619718309736156,10
153,0.03333333333337135,8
124,0.04112903225811143,10
142,0.03591549295778745,9
124,0.0370967741935953,13
199,0.02814070351761718,5
124,0.04112903225811143,18
164,0.031097560975645228,22
153,0.029411764705882328,18
231,0.022510822510872892,11
182,0.03076923076926274,13
127,0.04015748031500643,12
124,0.04112903225811143,13
125,0.040800000000046535,15
135,0.03777777777782087,11
136,0.03750000000004278,14
118,0.04322033898310015,15
157,0.03248407643315807,14
136,0.03308823529411762,18
139,0.041007194244688044,10
125,0.040800000000046535,11
166,0.030722891566300103,12
138,0.03695652173917259,12
142,0.03591549295778746,18
160,0.029375000000072742,16
169,0.03254437869822483,9
125,0.040800000000046535,7
135,0.037777777777820876,2
169,0.03017751479293383,5
106,0.0481132075472247,2
153,0.03333333333337135,4
146,0.034931506849354914,15
138,0.03188405797097229,14
118,0.04915254237302932,6
120,0.04250000000004848,10
123,0.041463414634193646,9
126,0.04047619047623664,10
143,0.03566433566437635,8
114,0.044736842105314194,10
131,0.03893129770996807,4
116,0.04396551724142947,10
125,0.04080000000004654,4
152,0.03289473684210524,10
112,0.045535714285766235,5
118,0.04322033898310015,5
123,0.04146341463419365,5
161,0.031677018633576505,6
127,0.04015748031500643,4
129,0.03953488372097534,5
246,0.02073170731709682,17
401,0.010972568578539087,24
264,0.02234848484857303,17
247,0.020647773279375777,12
198,0.02272727272727271,15
206,0.028155339805909993,14
122,0.04180327868857229,14
227,0.01497797356825628,16
233,0.029184549356298106,7
123,0.04146341463419365,14
136,0.03750000000004278,14
144,0.035416666666707064,14
130,0.03923076923081398,11
118,0.043220338983100154,12
123,0.04146341463419364,17
165,0.029090909091014902,13
128,0.04140624999990902,9
130,0.03923076923081398,13
193,0.026424870466351384,15
186,0.02741935483874096,12
119,0.04285714285719174,6
122,0.04180327868857228,10
170,0.030000000000034218,10
120,0.04250000000004848,10
116,0.043965517241429455,6
121,0.04214876033062659,11
149,0.03422818791950213,10
115,0.0443478260870071,2
134,0.03805970149258073,2
130,0.038461538461538436,2
118,0.043220338983100154,3
128,0.03515624999999997,16
126,0.0452380952381876,7
138,0.03695652173917259,12
113,0.04513274336288334,11
130,0.03923076923081398,12
117,0.04358974358979331,6
180,0.026111111111175766,13
168,0.03333333333336796,11
121,0.042148760330626596,15
154,0.03311688311692089,6
122,0.041803278688572275,9
148,0.03445945945949877,12
126,0.03968253968253965,7
127,0.04015748031500644,11
124,0.04112903225811143,12
140,0.03642857142861298,10
142,0.03450704225368507,11
112,0.046428571428415485,4
126,0.04047619047623664,9
111,0.04594594594599836,4
225,0.020888888888940613,11
275,0.020363636363657515,6
249,0.017269076305174116,20
140,0.04428571428579742,12
160,0.03187500000003636,11
123,0.04146341463419364,8
131,0.03893129770996807,12
155,0.03290322580648914,14
137,0.03722627737230524,10
141,0.0361702127659987,8
157,0.03248407643315807,10
128,0.039843750000045454,2
127,0.04015748031500645,4
127,0.04015748031500643,4
161,0.031677018633576505,5
135,0.037777777777820876,12
154,0.03311688311692089,22
161,0.031677018633576505,23
157,0.028662420382350957,17
140,0.040714285714160955,10
125,0.04080000000004655,11
138,0.03695652173917259,12
140,0.03785714285705968,14
455,0.009230769230794808,19
437,0.010297482837595193,20
169,0.039644970414097834,8
139,0.03669064748205624,12
129,0.039534883720975335,9
126,0.04047619047623664,10
157,0.03248407643315807,7
128,0.03984375000004545,11
146,0.03493150684935492,9
141,0.03617021276599871,10
139,0.03741007194232039,8
126,0.04047619047623664,13
121,0.04214876033062659,8
126,0.04047619047623664,11
122,0.041803278688572275,6
133,0.03834586466169787,9
152,0.03355263157898564,9
158,0.03227848101269505,22
144,0.035416666666707064,15
128,0.03984375000004545,13
166,0.03072289156630011,19
122,0.04180327868857228,14
126,0.04047619047623664,6
143,0.03006993007005216,15
171,0.035087719298075394,11
85,0.06000000000006845,9
193,0.026424870466351384,11
333,0.015315315315332784,14
142,0.03591549295778745,11
125,0.040800000000046535,11
128,0.03984375000004545,10
144,0.035416666666707064,12
126,0.032539682539728707,12
148,0.04121621621625553,7
125,0.040800000000046535,11
144,0.025694444444525268,14
151,0.04437086092703665,13
139,0.03669064748205624,12
141,0.0361702127659987,12
198,0.01767676767691465,15
334,0.020359281437090877,17
183,0.02786885245904818,12
135,0.03851851851838914,12
118,0.04322033898310015,9
125,0.040800000000046535,4
137,0.03722627737230524,10
106,0.04811320754722469,4
125,0.040800000000046535,9
122,0.041803278688572275,5
126,0.03968253968253966,4
101,0.0504950495050081,2
121,0.0421487603306266,4
121,0.040495867768787434,2
123,0.04227642276408564,12
136,0.03750000000004278,6
124,0.04112903225811144,9
134,0.03805970149258073,4
124,0.04112903225811144,10
119,0.04285714285719175,4
147,0.03469387755105998,10
142,0.03591549295778745,12
145,0.035172413793143564,10
122,0.041803278688572275,8
149,0.03422818791950213,13
131,0.03893129770996807,10
133,0.03834586466169787,10
136,0.03750000000004278,7
144,0.03402777777753522,21
176,0.03125000000016534,14
177,0.028813559322066765,14
154,0.03311688311692089,10
130,0.03923076923081398,17
113,0.04513274336288334,13
124,0.04112903225811143,14
152,0.03355263157898564,10
122,0.041803278688572275,13
135,0.037777777777820876,14
153,0.03333333333337136,18
164,0.03292682926825717,14
119,0.04285714285719175,12
118,0.043220338983100154,15
195,0.023076923076923057,16
193,0.03108808290140359,11
143,0.035664335664376344,13
138,0.03623188405797099,13
124,0.04112903225811144,12
180,0.028333333333365657,17
130,0.03923076923081398,10
146,0.034931506849354914,13
124,0.04112903225811144,11
164,0.031097560975645228,15
145,0.030344827586166728,17
124,0.045967741935577726,9
127,0.04015748031500643,12
123,0.04146341463419364,13
139,0.03669064748205624,17
113,0.04513274336288334,11
138,0.0369565217391726,12
127,0.04015748031500644,12
147,0.03469387755105998,12
129,0.03953488372097533,15
129,0.03953488372097533,12
144,0.035416666666707064,15
124,0.04112903225811144,16
124,0.04112903225811143,13
126,0.04047619047623664,11
152,0.028947368421205787,16
127,0.045669291338490986,9
116,0.04396551724142947,13
144,0.035416666666707064,11
119,0.04285714285719174,12
114,0.04473684210531419,14
134,0.03805970149258073,15
143,0.035664335664376344,10
125,0.04080000000004654,8
120,0.04250000000004848,12
114,0.04473684210531419,10
138,0.03768115942016329,10
117,0.04358974358979331,10
102,0.05000000000005705,11
130,0.039230769230813985,12
154,0.03311688311692089,20
142,0.035915492957787454,13
112,0.04553571428576623,13
179,0.028491620111764343,13
120,0.042500000000048485,11
204,0.025000000000028517,15
206,0.0203883495146196,16
271,0.02214022140221401,11
268,0.01753731343277065,16
197,0.02791878172603604,9
187,0.027272727272758382,11
132,0.03863636363640771,4
112,0.04553571428576623,11
104,0.04903846153851748,4
112,0.04553571428576623,10
120,0.04250000000004848,9
116,0.043965517241429455,17
114,0.04385964912280699,12
124,0.04112903225811143,10
123,0.04146341463419364,14
137,0.03722627737230524,14
118,0.04322033898310015,7
104,0.04903846153851747,17
130,0.03923076923081398,13
113,0.04513274336288334,2
129,0.03953488372097533,2
121,0.04214876033062659,3
125,0.040800000000046535,2
116,0.04051724137941068,2
125,0.043199999999953415,4
118,0.043220338983100154,4
147,0.03469387755105998,5
140,0.03642857142861298,4
129,0.03953488372097533,7
148,0.029054054053975372,18
142,0.0359154929579924,20
143,0.03706293706305915,15
125,0.041599999999860277,11
118,0.045762711864357423,14
118,0.0466101694915254,12
122,0.03524590163924882,14
122,0.04344262295096278,12
130,0.04384615384624337,12
198,0.022222222222192806,15
137,0.040145985401459826,14
133,0.0368421052631141,14
137,0.040875912409014024,13
121,0.03636363636358823,10
150,0.04066666666670545,11
122,0.03442622950805356,17
